诚	a	B
挚	a	E
的	u	S
问	vn	B
候	vn	E
和	c	S
良	a	B
好	a	E
的	u	S
祝	vn	B
愿	vn	E
！	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
7	m	E
１	t	B
９	t	M
９	t	M
７	t	M
年	t	E
，	w	S
是	v	S
中	ns	B
国	ns	E
发	vn	B
展	vn	E
历	n	B
史	n	E
上	f	S
非	d	B
常	d	E
重	a	B
要	a	E
的	u	S
很	d	S
不	d	S
平	a	B
凡	a	E
的	u	S
一	m	S
年	q	S
。	w	S
中	ns	B
国	ns	E
人	n	B
民	n	E
决	d	B
心	d	E
继	v	B
承	v	E
邓	nr	S
小	nr	B
平	nr	E
同	n	B
志	n	E
的	u	S
遗	n	B
志	n	E
，	w	S
继	v	B
续	v	E
把	p	S
建	v	B
设	v	E
有	v	S
中	ns	B
国	ns	E
特	n	B
色	n	E
社	n	B
会	n	M
主	n	M
义	n	E
事	n	B
业	n	E
推	v	B
向	v	E
前	v	B
进	v	E
。	w	S
[	ns	B
中	ns	M
国	ns	E
政	n]nt	B
府	n]nt	E
顺	ad	B
利	ad	E
恢	v	B
复	v	E
对	p	S
香	ns	B
港	ns	E
行	v	B
使	v	E
主	n	B
权	n	E
，	w	S
并	c	S
按	p	B
照	p	E
“	w	S
一	j	B
国	j	M
两	j	M
制	j	E
”	w	S
、	w	S
“	w	S
港	l	B
人	l	M
治	l	M
港	l	E
”	w	S
、	w	S
高	d	B
度	d	E
自	v	B
治	v	E
的	u	S
方	n	B
针	n	E
保	v	B
持	v	E
香	ns	B
港	ns	E
的	u	S
繁	an	B
荣	an	E
稳	an	B
定	an	E
。	w	S
[	ns	B
中	ns	M
国	ns	E
共	n]nt	B
产	n]nt	M
党	n]nt	E
成	a	B
功	a	E
地	u	S
召	v	B
开	v	E
了	u	S
第	m	B
十	m	M
五	m	E
次	q	S
全	n	B
国	n	E
代	n	B
表	n	M
大	n	M
会	n	E
，	w	S
高	v	B
举	v	E
邓	n	B
小	n	M
平	n	M
理	n	M
论	n	E
伟	a	B
大	a	E
旗	n	B
帜	n	E
，	w	S
总	v	B
结	v	E
百	m	B
年	m	E
历	n	B
史	n	E
，	w	S
展	v	B
望	v	E
新	a	S
的	u	S
世	n	B
纪	n	E
，	w	S
制	v	B
定	v	E
了	u	S
中	ns	B
国	ns	E
跨	v	S
世	n	B
纪	n	E
发	v	B
展	v	E
的	u	S
行	vn	B
动	vn	E
纲	n	B
领	n	E
。	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
8	m	E
在	p	S
这	r	S
一	m	S
年	q	S
中	f	S
，	w	S
中	ns	B
国	ns	E
的	u	S
改	vn	B
革	vn	E
开	vn	B
放	vn	E
和	c	S
现	vn	B
代	vn	M
化	vn	E
建	vn	B
设	vn	E
继	v	B
续	v	E
向	v	B
前	v	E
迈	v	B
进	v	E
。	w	S
国	n	B
民	n	M
经	n	M
济	n	E
保	v	B
持	v	E
了	u	S
“	w	S
高	a	S
增	vn	B
长	vn	E
、	w	S
低	a	S
通	j	B
胀	j	E
”	w	S
的	u	S
良	a	B
好	a	E
发	vn	B
展	vn	E
态	n	B
势	n	E
。	w	S
农	n	B
业	n	E
生	vn	B
产	vn	E
再	d	B
次	d	E
获	v	B
得	v	E
好	a	S
的	u	S
收	n	B
成	n	E
，	w	S
企	n	B
业	n	E
改	vn	B
革	vn	E
继	v	B
续	v	E
深	v	B
化	v	E
，	w	S
人	n	B
民	n	E
生	vn	B
活	vn	E
进	d	B
一	d	M
步	d	E
改	v	B
善	v	E
。	w	S
对	vn	B
外	vn	E
经	n	B
济	n	E
技	n	B
术	n	E
合	vn	B
作	vn	E
与	c	S
交	vn	B
流	vn	E
不	d	B
断	d	E
扩	v	B
大	v	E
。	w	S
民	a	B
主	a	E
法	n	B
制	n	E
建	vn	B
设	vn	E
、	w	S
精	n	B
神	n	M
文	n	M
明	n	E
建	vn	B
设	vn	E
和	c	S
其	r	B
他	r	E
各	r	B
项	r	E
事	n	B
业	n	E
都	d	S
有	v	S
新	a	S
的	u	S
进	vn	B
展	vn	E
。	w	S
我	r	B
们	r	E
十	m	B
分	m	E
关	v	B
注	v	E
最	t	B
近	t	E
一	m	B
个	m	E
时	n	B
期	n	E
一	m	B
些	m	E
国	n	B
家	n	E
和	c	S
地	n	B
区	n	E
发	v	B
生	v	E
的	u	S
金	n	B
融	n	E
风	n	B
波	n	E
，	w	S
我	r	B
们	r	E
相	v	B
信	v	E
通	p	B
过	p	E
这	r	B
些	r	E
国	n	B
家	n	E
和	c	S
地	n	B
区	n	E
的	u	S
努	an	B
力	an	E
以	c	B
及	c	E
有	v	B
关	v	E
的	u	S
国	n	B
际	n	E
合	vn	B
作	vn	E
，	w	S
情	n	B
况	n	E
会	v	S
逐	d	B
步	d	E
得	v	B
到	v	E
缓	vn	B
解	vn	E
。	w	S
总	c	B
的	c	M
来	c	M
说	c	E
，	w	S
中	ns	B
国	ns	E
改	v	B
革	v	E
和	c	S
发	v	B
展	v	E
的	u	S
全	n	B
局	n	E
继	v	B
续	v	E
保	v	B
持	v	E
了	u	S
稳	an	B
定	an	E
。	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
9	m	E
在	p	S
这	r	S
一	m	S
年	q	S
中	f	S
，	w	S
中	ns	B
国	ns	E
的	u	S
外	n	B
交	n	E
工	vn	B
作	vn	E
取	v	B
得	v	E
了	u	S
重	a	B
要	a	E
成	n	B
果	n	E
。	w	S
通	p	B
过	p	E
高	n	B
层	n	E
互	v	B
访	v	E
，	w	S
中	ns	B
国	ns	E
与	p	S
美	ns	B
国	ns	E
、	w	S
俄	ns	B
罗	ns	M
斯	ns	E
、	w	S
法	ns	B
国	ns	E
、	w	S
日	ns	B
本	ns	E
等	u	S
大	n	B
国	n	E
确	v	B
定	v	E
了	u	S
双	n	B
方	n	E
关	n	B
系	n	E
未	t	B
来	t	E
发	v	B
展	v	E
的	u	S
目	n	B
标	n	E
和	c	S
指	vn	B
导	vn	E
方	n	B
针	n	E
。	w	S
中	ns	B
国	ns	E
与	p	S
周	n	B
边	n	E
国	n	B
家	n	E
和	c	S
广	b	B
大	b	E
发	l	B
展	l	M
中	l	M
国	l	M
家	l	E
的	u	S
友	a	B
好	a	E
合	vn	B
作	vn	E
进	d	B
一	d	M
步	d	E
加	v	B
强	v	E
。	w	S
中	ns	B
国	ns	E
积	ad	B
极	ad	E
参	v	B
与	v	E
[	j	B
亚	j	E
太	j	S
经	j	B
合	j	E
组	n]nt	B
织	n]nt	E
的	u	S
活	vn	B
动	vn	E
，	w	S
参	v	B
加	v	E
了	u	S
东	ns	B
盟	ns	E
—	w	S
中	j	S
日	j	S
韩	j	S
和	c	S
中	ns	B
国	ns	E
—	w	S
东	ns	B
盟	ns	E
首	n	B
脑	n	E
非	b	B
正	b	M
式	b	E
会	vn	B
晤	vn	E
。	w	S
这	r	B
些	r	E
外	n	B
交	n	E
活	vn	B
动	vn	E
，	w	S
符	v	B
合	v	E
和	n	B
平	n	E
与	c	S
发	v	B
展	v	E
的	u	S
时	n	B
代	n	E
主	n	B
题	n	E
，	w	S
顺	v	B
应	v	E
世	n	B
界	n	E
走	v	B
向	v	E
多	v	B
极	v	M
化	v	E
的	u	S
趋	n	B
势	n	E
，	w	S
对	p	B
于	p	E
促	v	B
进	v	E
国	n	B
际	n	E
社	n	B
会	n	E
的	u	S
友	a	B
好	a	E
合	vn	B
作	vn	E
和	c	S
共	b	B
同	b	E
发	vn	B
展	vn	E
作	v	B
出	v	E
了	u	S
积	a	B
极	a	E
的	u	S
贡	n	B
献	n	E
。	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
0	m	E
１	t	B
９	t	M
９	t	M
８	t	M
年	t	E
，	w	S
中	ns	B
国	ns	E
人	n	B
民	n	E
将	d	S
满	l	B
怀	l	M
信	l	M
心	l	E
地	u	S
开	v	B
创	v	E
新	a	S
的	u	S
业	n	B
绩	n	E
。	w	S
尽	c	B
管	c	E
我	r	B
们	r	E
在	p	S
经	n	B
济	n	E
社	n	B
会	n	E
发	v	B
展	v	E
中	f	S
还	d	S
面	v	B
临	v	E
不	m	B
少	m	E
困	an	B
难	an	E
，	w	S
但	c	S
我	r	B
们	r	E
有	v	S
邓	n	B
小	n	M
平	n	M
理	n	M
论	n	E
的	u	S
指	vn	B
引	vn	E
，	w	S
有	v	S
改	v	B
革	v	E
开	v	B
放	v	E
近	a	S
２	m	B
０	m	E
年	q	S
来	f	S
取	v	B
得	v	E
的	u	S
伟	a	B
大	a	E
成	n	B
就	n	E
和	c	S
积	v	B
累	v	E
的	u	S
丰	a	B
富	a	E
经	n	B
验	n	E
，	w	S
还	d	S
有	v	S
其	r	B
他	r	E
的	u	S
各	r	B
种	r	E
有	a	B
利	a	E
条	n	B
件	n	E
，	w	S
我	r	B
们	r	E
一	d	B
定	d	E
能	v	B
够	v	E
克	v	B
服	v	E
这	r	B
些	r	E
困	an	B
难	an	E
，	w	S
继	v	B
续	v	E
稳	l	B
步	l	M
前	l	M
进	l	E
。	w	S
只	c	B
要	c	E
我	r	B
们	r	E
进	d	B
一	d	M
步	d	E
解	i	B
放	i	M
思	i	M
想	i	E
，	w	S
实	i	B
事	i	M
求	i	M
是	i	E
，	w	S
抓	v	B
住	v	E
机	n	B
遇	n	E
，	w	S
开	l	B
拓	l	M
进	l	M
取	l	E
，	w	S
建	v	B
设	v	E
有	v	S
中	ns	B
国	ns	E
特	n	B
色	n	E
社	n	B
会	n	M
主	n	M
义	n	E
的	u	S
道	n	B
路	n	E
就	c	S
会	v	S
越	d	S
走	v	S
越	d	S
宽	a	B
广	a	E
。	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
1	m	E
实	v	B
现	v	E
祖	n	B
国	n	E
的	u	S
完	a	B
全	a	E
统	vn	B
一	vn	E
，	w	S
是	v	S
海	s	B
内	s	M
外	s	E
全	n	B
体	n	E
中	ns	B
国	ns	E
人	n	S
的	u	S
共	b	B
同	b	E
心	n	B
愿	n	E
。	w	S
通	p	B
过	p	E
中	j	S
葡	j	S
双	n	B
方	n	E
的	u	S
合	vn	B
作	vn	E
和	c	S
努	an	B
力	an	E
，	w	S
按	p	B
照	p	E
“	w	S
一	j	B
国	j	M
两	j	M
制	j	E
”	w	S
方	n	B
针	n	E
和	c	S
澳	ns	B
门	ns	E
《	w	S
基	n	B
本	n	M
法	n	E
》	w	S
，	w	S
１	t	B
９	t	M
９	t	M
９	t	M
年	t	E
１	t	B
２	t	M
月	t	E
澳	ns	B
门	ns	E
的	u	S
回	vn	B
归	vn	E
一	d	B
定	d	E
能	v	B
够	v	E
顺	ad	B
利	ad	E
实	v	B
现	v	E
。	w	S

1	m	B
9	m	M
9	m	M
8	m	M
0	m	M
1	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
-	m	M
0	m	M
0	m	M
1	m	M
-	m	M
0	m	M
1	m	M
2	m	E
台	ns	B
湾	ns	E
是	v	S
中	ns	B
国	ns	E
领	n	B
土	n	E
不	l	B
可	l	M
分	l	M
割	l	E
的	u	S
一	m	S
部	n	B
分	n	E
。	w	S
完	v	B
成	v	E
祖	n	B
国	n	E
统	vn	B
一	vn	E
，	w	S
是	v	S
大	i	B
势	i	M
所	i	M
趋	i	E
，	w	S
民	l	B
心	l	M
所	l	M
向	l	E
。	w	S
任	r	B
何	r	E
企	v	B
图	v	E
制	v	B
造	v	E
“	w	S
两	m	S
个	q	S
中	ns	B
国	ns	E
”	w	S
、	w	S
“	w	S
一	j	B
中	j	M
一	j	M
台	j	E
”	w	S
、	w	S
“	w	S
台	ns	B
湾	ns	E
独	v	B
立	v	E
”	w	S
的	u	S
图	n	B
谋	n	E
，	w	S
都	d	S
注	v	B
定	v	E
要	v	S
失	v	B
败	v	E
。	w	S
希	v	B
望	v	E
台	ns	B
湾	ns	E
当	n	B
局	n	E
以	p	S
民	n	B
族	n	E
大	n	B
义	n	E
为	v	B
重	v	E
，	w	S
拿	v	S
出	v	S
诚	n	B
意	n	E
，	w	S
采	v	B
取	v	E
实	a	B
际	a	E
的	u	S
行	vn	B
动	vn	E
，	w	S
推	v	B
动	v	E
两	n	B
岸	n	E
经	n	B
济	n	E
文	n	B
化	n	E
交	vn	B
流	vn	E
和	c	S
人	n	B
员	n	E
往	vn	B
来	vn	E
，	w	S
促	v	B
进	v	E
两	n	B
岸	n	E
直	ad	B
接	ad	E
通	v	B
邮	v	E
、	w	S
通	v	B
航	v	E
、	w	S
通	v	B
商	v	E
的	u	S
早	d	B
日	d	E
实	v	B
现	v	E
，	w	S
并	c	S
尽	d	B
早	d	E
回	v	B
应	v	E
我	r	B
们	r	E
发	v	B
出	v	E
的	u	S
在	p	S
一	m	B
个	m	E
中	ns	B
国	ns	E
的	u	S
原	n	B
则	n	E
下	f	S
两	n	B
岸	n	E
进	v	B
行	v	E
谈	vn	B
判	vn	E
的	u	S
郑	a	B
重	a	E
呼	vn	B
吁	vn	E
。	w	S




